MD,StyleCode,품명,시즌코드,수주미진행,성별,라인,K/M/D,테마,예상소매가,예상출고일(주차),출고차순,작지등록,진행구분,생산처,원단처,원산지,출처블록
이재헌,JWTBM27165,남성 솔솔 MossDry 소매 하이브리드 긴팔 집업 티셔츠,M,수주 미진행,남성,HIKING,K,Hiking M1,"148,000",3월2주,,,,,,,B
이재헌,JWTBM27167,남성 솔솔 MossDry 소매 하이브리드 긴팔 집업 티셔츠,M,수주 미진행,남성,HIKING,K,Hiking M1,"148,000",3월2주,,,,,,,A
이재헌,JWTBM27181,남녀공용 솔솔 에어도트 하이브리드 긴팔 티셔츠,M,,남녀공용,HIKING,D,Hiking M1,"158,000",3월2주,,,,,,,A
이재헌,JWTCM27157,남성 솔솔 MossDry 베이직 반팔 집업 티셔츠,M,,남성,HIKING,K,Hiking M1,"108,000",3월2주,,,,,,,A
이재헌,JWTCM27159,남성 솔솔 MossDry 베이직 반팔 라운드 티셔츠,M,,남성,HIKING,K,Hiking M1,"68,000",3월2주,,,,,,,A
이재헌,JWTCM27161,남성 솔솔 MossDry 베이직 반팔 집업 티셔츠,M,,남성,HIKING,K,Hiking M1,"108,000",3월2주,,,,,,,B
이재헌,JWTCM27163,남성 솔솔 MossDry 베이직 반팔 라운드 티셔츠,M,,남성,HIKING,K,Hiking M1,"68,000",3월2주,,,,,,,B
이재헌,JWVAM27101,남성 에센셜 경량 베스트,M,,남성,HIKING,M,Hiking M1,"148,000",3월2주,,,,,,,A
정영준,TVPNM27542,하절 여성 시어서커 파라슈츠 팬츠 (SET-UP),M,,여성,EVERYDAY,M,EV Summer 2,"168,000",3월2주,,,,,,,A
정영준,TVPOM27502,하절 여성 시어서커 5부 (SET-UP),M,,여성,EVERYDAY,M,EV Summer 2,"108,000",3월2주,,,,,,,A
이재헌,JWTCM27151,남성 소로나 메쉬 반팔 집업 티셔츠,M,,남성,HIKING,M,Hiking M1,"118,000",3월3주,,,,,,,A
이재헌,JWJJM27165,남성 트레이닝 재킷 (SET UP),M,수주 미진행,남성,HIKING,K,유통특화,"168,000",3월4주,,,,,,,A
이재헌,JWJJM27181,남성 트레이닝 재킷 (SET UP),M,수주 미진행,남성,HIKING,K,유통특화,"168,000",3월4주,,,,,,,B
박지인,JWJJM27301,,M,,,,,Backpacking,,3월4주,2,,,,,,seq
이재헌,JWTCM27131,남녀공용 소로나 릴렉스핏 그래픽 티셔츠,M,,남녀공용,HIKING,K,Hiking M1,"88,000",3월4주,,,,,,,A
이재헌,JWTCM27133,남녀공용 에어론 릴렉스핏 그래픽 티셔츠,M,,남녀공용,HIKING,M,Hiking M1,"88,000",3월4주,,,,,,,A
이재헌,JWTCM27135,남녀공용 소로나 오버핏 그래픽 티셔츠,M,,남녀공용,HIKING,M,Hiking M1,"88,000",3월4주,,,,,,,A
,JWTCM27137,,M,,남성,HIKING,M,Hiking M1,,3월4주,,,,,,,A
이재헌,JWTCM27153,남성 메쉬 하이브리드 반팔 라운드 티셔츠,M,,남성,HIKING,M,Hiking M1,"98,000",3월4주,,,,,,,A
이재헌,JWTCM27183,남성 솔솔 에어도트 반팔 폴로 티셔츠,M,,남성,HIKING,K,Hiking M1,"128,000",3월4주,,,,,,,A
이재헌,JWTCM27185,남성 솔솔 에어도트 반팔 라운드 티셔츠,M,,남성,HIKING,M,Hiking M1,"128,000",3월4주,,,,,,,A
이재헌,JWTCM27187,남성 솔솔 에어도트 반집업 반팔 티셔츠,M,수주 미진행,남성,HIKING,K,Hiking M1,"138,000",3월4주,,,,,,,A
정영준,TVPNM27694,하절 여성 데이팩 루즈 팬츠,M,,여성,EVERYDAY,M,Daypack,"158,000",3월4주,,,,,,,A
