기획MD,StyleCode,품명,시즌코드,컬러수,생산형태,생산처,원산국,전산입고계획일,작지일매,예상출고일(주차)
최지희,QERFM27121,남녀공용 경량 메쉬 버킷햇,M,2,사입,캐비야모자,국내,2027-03-24,O,
최지희,QERFM27151,남녀공용 에어도트 버킷햇,M,2,사입,캐비야모자,국내,2027-03-12,O,
최지희,QERFM27401,남녀공용 시어서커 버킷햇,M,2,사입,캐비야모자,국내,2027-03-24,O,
최지희,QERFM27402,여성 롱와이드 버킷햇,M,2,사입,주식회사 피앤지아이엔씨,베트남,2027-03-24,X,
최지희,QERFM27501,남녀공용 데이팩 버킷햇,M,3,CMT,캐비야모자,국내,2027-03-24,O,
최지희,QERFX27101,남녀공용 고어텍스 버킷햇,X,3,CMT,캐비야모자,국내,2027-01-18,O,
최지희,QERFX27111,남녀공용 고어텍스 브림햇,X,2,CMT,캐비야모자,국내,2027-01-18,O,
최지희,QERFX27141,남녀공용 경량 우븐 벤틸레이션 브림햇,X,2,사입,캐비야모자,국내,2027-03-11,O,
정영준,TLJJM27501,하절 남성 경량 재킷,M,2,사입,원전교역,미얀마,2027-01-21,X,3월1주
정영준,TLJJM27511,하절 남성 윈드포레스트 패커블 방풍 재킷,M,3,사입,아이블에프앤씨,베트남,2027-01-21,O,3월1주
박술홍,TLJJM27701,남성 트레일러닝 초경량 3L 방수 자켓,M,1,사입,포마트코퍼레이션,베트남,2027-03-01,O,3월1주
박술홍,TLJJM27703,남성 트레일러닝 패커블 초경량 방풍 자켓,M,1,사입,포마트코퍼레이션,베트남,2027-03-01,O,3월1주
정영준,TLJJS27501,춘절 남성 패딩 헤링턴 재킷,S,2,사입,기도산업,베트남,2026-12-11,X,1월3주
정영준,TLJJS27503,춘절 남성 소프트쉘 헤링턴 재킷,S,2,사입,포마트코퍼레이션,베트남,2026-12-11,X,2월1주
정영준,TLJJS27511,춘절 남성 소프트안감 드리즐러 재킷,S,2,사입,포마트코퍼레이션,베트남,2026-12-11,X,2월1주
정영준,TLJJS27521,춘절 남성 3L 후드 방수 재킷,S,2,사입,기도산업,베트남,2026-12-11,X,1월3주
정영준,TLJJS27531,춘절 남성 소프트필 재킷,S,2,사입,주식회사 아이케이지,인도네시아,2026-12-11,X,2월1주
정영준,TLJJS27541,사계절 남성 KOMFORT 이지 재킷,S,2,사입,포마트코퍼레이션,베트남,2026-12-11,X,2월1주
정영준,TLJJS27551,유통특화_춘절 남성 키퍼 스탠드넥 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,O,1월3주
정영준,TLJJS27561,유통특화_춘절 남성 인후드 재킷,S,2,사입,원전교역,미얀마,2026-12-11,O,2월1주
정영준,TLJJS27901,유통특화_춘절 남성 인후드 재킷,S,2,사입,원전교역,미얀마,2026-12-11,X,
정영준,TLJJS27911,유통특화_춘절 남성 키퍼 스탠드넥 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,X,
문도혁,TLPNM27501,하절 남성 시어서커 레귤러핏 팬츠,M,2,CMT,거림트렌드,베트남,2027-01-21,O,
문도혁,TLPNM27511,하절 남성 면 혼방 레귤러핏 테이퍼드 팬츠,M,2,CMT,와이아이씨,베트남,2027-01-21,O,
문도혁,TLPNM27541,하절 남성 레귤러핏 테이퍼드 팬츠,M,2,CMT,거림트렌드,베트남,2027-01-21,O,
문도혁,TLPNM27691,하절 남성 데이팩 레귤러핏 테이퍼드 팬츠,M,2,CMT,거림트렌드,베트남,2027-01-14,O,
문도혁,TLPNM27693,하절 남성 데이팩 루즈핏 팬츠,M,2,CMT,티비오콜렉션,베트남,2027-01-14,O,
문도혁,TLPNM27911,유통특화_하절 남성 쿨맥스 데님 팬츠,M,2,사입,스코브데님워크숍,베트남,2027-01-21,O,
문도혁,TLPNS27411,춘절 남성 면 혼방 레귤러핏 테이퍼드 팬츠,S,2,CMT,거림트렌드,베트남,2026-12-11,O,
문도혁,TLPNS27501,춘절 루즈핏 커브드 팬츠,S,2,CMT,와이아이씨,베트남,2026-12-11,O,
문도혁,TLPNS27521,사계절 남성 KOMFORT 레귤러핏 팬츠,S,2,CMT,와이아이씨,베트남,2026-12-11,O,
문도혁,TLPNS27531,춘절 남성 소프트필 저지 팬츠,S,2,사입,주식회사 아이케이지,인도네시아,2026-12-11,O,
문도혁,TLPNS27901,유통특화_사계절 남성 레귤러핏 데님 팬츠,S,2,사입,스코브데님워크숍,베트남,2026-12-11,O,
문도혁,TLPOM27501,하절 남성 시어서커 쇼츠,M,2,CMT,거림트렌드,베트남,2027-01-21,O,
문도혁,TLPOM27521,하절 남성 KOMFORT 쇼츠,M,2,CMT,티비오콜렉션,베트남,2027-01-21,O,
문도혁,TLPOM27531,하절 남성 나일론 버뮤다 쇼츠,M,2,CMT,거림트렌드,베트남,2027-01-21,O,
문도혁,TLPOM27697,하절 남성 데이팩 베이직 쇼츠,M,3,CMT,티비오콜렉션,베트남,2027-01-14,O,
문도혁,TLPOM27699,하절 남성 데이팩 카고 쇼츠,M,2,CMT,티비오콜렉션,베트남,2027-01-14,X,
박술홍,TLPOM27731,남성 트레일러닝 초경량 스플릿 3부 팬츠,M,1,사입,와이아이씨,베트남,2027-03-01,X,
박술홍,TLPOM27733,남성 트레일러닝 트레일 2in1 스토리지 3부 팬츠,M,2,사입,와이아이씨,베트남,2027-03-01,X,
박술홍,TLPOM27735,남성 트레일러닝 트레일 스토리지 5부 타이즈,M,1,사입,주식회사 아이케이지,인도네시아,2027-03-01,X,
김준래,TLSCM27501,하절 남성 시어서커 반팔 셔츠,M,4,사입,픽스쳐패브리케이션,베트남,2027-03-08,O,
김준래,TLSCM27511,하절 남성 체크 반팔 셔츠,M,2,사입,픽스쳐패브리케이션,베트남,2027-03-08,O,
문도혁,TLSCM27693,하절 남성 데이팩 베이직 셔츠,M,3,사입,성원F&K,베트남,2027-01-14,O,
김준래,TLSCM27921,유통특화_하절 남성 체크 시어서커 반팔 셔츠,M,2,사입,픽스쳐패브리케이션,베트남,2027-03-08,O,
김준래,TLSXM27521,하절 남성 체크 긴팔 셔츠,M,2,사입,픽스쳐패브리케이션,베트남,2027-02-22,O,2월4주
김준래,TLSXM27551,하절 남성 시어서커 긴팔 셔츠,M,2,사입,픽스쳐패브리케이션,베트남,2027-02-22,O,
김준래,TLSXM27901,유통특화_남성 체크 긴팔 셔츠,M,2,사입,픽스쳐패브리케이션,베트남,2027-02-15,O,
김준래,TLSXS27501,남성 기본형 세미오버 긴팔 셔츠,S,2,사입,성원F&K,베트남,2027-02-15,O,
김준래,TLSXS27511,남성 아우터형 긴팔 셔츠,S,2,사입,성원F&K,베트남,2027-02-15,O,
김준래,TLTBM27501,남녀공용 베이직 세미오버 긴팔 티셔츠,M,2,사입,TESSELLATION INTERNATIONAL LIM,베트남,2027-01-11,X,
김준래,TLTBS27511,남성 베이직 폴로 긴팔 티셔츠,S,3,Buying,TESSELLATION INTERNATIONAL LIM,베트남,2027-01-11,X,
김준래,TLTBS27571,춘절 남성 니트 폴로 긴팔 티셔츠,S,2,사입,어필코리아,베트남,2026-12-11,O,
김준래,TLTCM27501,하절 남성 베이직 폴로 반팔 티셔츠,M,4,Buying,TESSELLATION INTERNATIONAL LIM,베트남,2027-03-08,X,
김준래,TLTCM27503,하절 남성 핫멜트 폴로 반팔 티셔츠,M,5,사입,장안어패럴,베트남,2027-01-18,O,
김준래,TLTCM27505,하절 남성 시어서커 폴로 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-03-08,O,
김준래,TLTCM27509,하절 남성 시어서커 라운드넥 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-03-08,O,
김준래,TLTCM27511,하절 남녀공용 CP소로나쿨 레귤러핏 상록수 그래픽 반팔 티셔츠,M,2,사입,주식회사 아이케이지,인도네시아,2027-03-22,X,
김준래,TLTCM27513,하절 남녀공용 NP소로나쿨 세미오버핏 상록수 그래픽 반팔 티셔츠,M,2,사입,주식회사 아이케이지,인도네시아,2027-03-22,X,
김준래,TLTCM27515,하절 남녀공용 NP소로나쿨 세미오버핏 그래픽 반팔 티셔츠,M,2,사입,주식회사 아이케이지,인도네시아,2027-03-22,X,
김준래,TLTCM27517,하절 남성 소로나 레귤러핏 그래픽 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-03-22,X,
김준래,TLTCM27519,하절 남녀공용 소로나쿨(NP) 세미오버핏 그래픽 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-03-22,X,
김준래,TLTCM27521,남성 소로나 레귤러핏 반팔 티셔츠,M,4,Buying,주식회사 아이케이지,인도네시아,2027-02-20,X,
김준래,TLTCM27523,남성 CP소로나쿨 세미오버 반팔 티셔츠,M,4,사입,주식회사 아이케이지,인도네시아,2027-02-22,O,
김준래,TLTCM27529,하절 남성 린넨라이크 폴로 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-03-08,O,
김준래,TLTCM27561,하절 남성 헨리넥 레귤러핏 반팔 티셔츠,M,2,사입,주식회사 아이케이지,인도네시아,2027-02-22,X,
김준래,TLTCM27591,하절 남성 시어서커 하프집업 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-03-08,O,
문도혁,TLTCM27691,하절 남녀공용 데이팩 티셔츠,M,3,사입,주식회사 아이케이지,인도네시아,2027-01-14,O,
문도혁,TLTCM27695,하절 남성 데이팩 하프집업 티셔츠,M,2,사입,주식회사 아이케이지,인도네시아,2027-01-14,X,
박술홍,TLTCM27711,남성 트레일러닝 흡습속건 라운드 반팔 티셔츠,M,3,사입,장안어패럴,베트남,2027-03-01,O,
박술홍,TLTCM27721,남성 트레일러닝 자카드 라운드 슬리브리스,M,1,사입,장안어패럴,베트남,2027-03-01,O,
박술홍,TLTCM27723,남성 트레일러닝 저지 라운드 슬리브리스,M,1,사입,장안어패럴,베트남,2027-03-01,X,
문도혁,TVJJM27502,하절 여성 스탠드넥 벤틸레이션 방풍 재킷,M,2,사입,원전교역,베트남,2027-01-21,X,
문도혁,TVJJM27512,하절 여성 메쉬 하이브리드 라운드넥 재킷,M,2,사입,기도산업,베트남,2027-01-21,X,
문도혁,TVJJM27522,하절 여성 중기장 후디드 방풍 재킷,M,2,사입,원전교역,베트남,2027-01-21,X,
문도혁,TVJJM27532,하절 여성 V컷 스탠드넥 방풍 재킷,M,2,사입,아이블에프앤씨,베트남,2027-01-21,X,
문도혁,TVJJM27552,하절 여성 메쉬 하이브리드 크롭 후디드 재킷,M,2,사입,아이블에프앤씨,베트남,2027-01-21,X,
박술홍,TVJJM27702,여성 트레일러닝 초경량 3L 방수 자켓,M,1,사입,포마트코퍼레이션,베트남,2027-03-01,O,
박술홍,TVJJM27704,여성 트레일러닝 패커블 초경량 방풍 자켓,M,1,사입,포마트코퍼레이션,베트남,2027-03-01,O,
문도혁,TVJJS27502,춘절 여성 논퀼팅 인슐레이션 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,O,
문도혁,TVJJS27522,춘절 여성 웨더 중기장 재킷,S,2,사입,포마트코퍼레이션,베트남,2026-12-11,O,
문도혁,TVJJS27532,춘절 여성 3L 후디드 방수 재킷,S,2,사입,기도산업,베트남,2026-12-11,O,
문도혁,TVJJS27542,춘절 여성 소프트안감 칼라드 재킷,S,2,사입,원전교역,베트남,2026-12-11,O,2월1주
문도혁,TVJJS27552,춘절 여성 키퍼 중기장 벨티드 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,O,
문도혁,TVJJS27562,춘절 여성 키퍼 넥리스 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,O,
문도혁,TVJJS27902,유통특화_춘절 여성 키퍼 중기장 벨티드 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,X,
문도혁,TVJJS27912,유통특화_춘절 여성 키퍼 넥리스 재킷,S,2,사입,아이블에프앤씨,베트남,2026-12-11,X,
정영준,TVPNM27502,하절 여성 베이직 크롭 세미 와이드 팬츠,M,2,CMT,와이아이씨,베트남,2027-01-21,X,3월1주
정영준,TVPNM27522,하절 여성 카고조거 팬츠,M,2,CMT,와이아이씨,베트남,2027-01-21,O,3월1주
정영준,TVPNM27532,하절 여성 와이드 팬츠,M,2,CMT,티비오콜렉션,베트남,2027-01-21,O,3월1주
정영준,TVPNM27542,하절 여성 시어서커 파라슈츠 팬츠,M,2,CMT,거림트렌드,베트남,2027-01-21,O,3월2주
정영준,TVPNM27694,하절 여성 데이팩 루즈 팬츠,M,2,CMT,티비오콜렉션,베트남,2027-01-14,O,3월4주
