MD,DS,StyleCode,품명,시즌코드,컬러수,기획수량,생산형태,생산처,원산지,출고차순,출고일(주차),작지발행,납기1차(참고),컬러구성,사양확정,비수기,원가합,소매가합,원단처,겉감정보,안감정보,생산처_소재DB
신인철,장지은,8NAAM27101,[WM] 남녀공용 쿨 멀티 스카프,M,1,0,완사입,ING,베트남,2차,4월2주,X,,BLK(BLACK),X,,4264706,14500000,,,,
신인철,안세진,8NAAX27101,[WM] 남녀공용 X-PAC 피싱 타올,X,1,0,완사입,시즈,베트남,1차,1월3주,X,,BLK(BLACK),X,,2470588,8400000,,,,
신인철,장지은,8NHEM27101,[WM] 남녀공용 UV 피싱 암슬리브,M,2,0,완사입,시즈,베트남,2차,4월2주,X,,"OWH, BLK(BLACK)",X,,3752941,12760000,,,,
신인철,안세진,8UTCM27115,[WM] 남녀공용 AORI 그래픽 티셔츠,M,2,0,완사입,주연,국내,2차,4월2주,X,,"OWH, BLK(BLACK)",X,,8775000,35100000,,,,
신인철,안세진,8UTCM27113,[WM] 남녀공용 EGI 그래픽 티셔츠,M,3,0,완사입,주연,국내,2차,4월2주,X,,"MML, KHA(KHAKI), BLK(BLACK)",X,,10725000,42900000,,,,
신인철,안세진,8UTCM27117,[WM] 남녀공용 HOT SUMMER 그래픽 소로나 티셔츠,M,3,0,,,,2차,4월2주,,,"OWH, BLK(BLACK), TBU",,,52260000,241800000,,,,
신인철,안세진,8UTCM27119,[WM] 남녀공용 OCEAN BREEZE 그래픽 소로나 티셔츠,M,3,0,,,,2차,4월2주,,,"BLK(BLACK), OWH, DLM",,,48360000,241800000,,,,
신인철,안세진,8UTCM27121,[WM] 남녀공용 OCEAN ANGLERS 그래픽 소로나 티셔츠,M,3,0,,,,2차,4월2주,,,"BLK(BLACK), OWH, DLM",,,48360000,241800000,,,,
박술홍,강지은,QEREX27711,[TRAIL] 남녀공용 트레일러닝 메쉬 캠프캡,X,2,1200,완사입,피앤지,베트남,SM1,3월1주,O,,"DGY(D/GRAY), DBE(DARK BEIGE)",O,,16401600,78000000,,,,
박술홍,강지은,QEREX27721,[TRAIL] 남녀공용 트레일러닝 에어도트 볼캡,X,2,900,완사입,피앤지,베트남,SM1,3월1주,O,,"BLK(BLACK), IVO(IVORY)",O,,12301200,58500000,,,,
박술홍,강지은,QEBXX27711,[TRAIL] 남녀공용 트레일러닝 베스트 10L,X,2,1300,완사입,풍국산업,베트남,SM1,3월1주,O,,"BLK(BLACK), LSE",O,,76420500,286000000,,,,
박술홍,강지은,QEBXX27701,[TRAIL] 남녀공용 트레일러닝 베스트 5L,X,2,1200,완사입,풍국산업,베트남,SM1,3월1주,O,,"BLK(BLACK), IVO(IVORY)",O,,70542000,237600000,,,,
박술홍,강지은,QEBDX27731,[TRAIL] 남녀공용 트레일러닝 힙벨트,X,2,1600,완사입,풍국산업,베트남,SM1,3월1주,O,,BLK(BLACK),O,,24337400,88800000,,,,
박술홍,강지은,QEBDX27733,[TRAIL] 남녀공용 트레일러닝 퀴버백,X,1,500,완사입,풍국산업,베트남,SM1,3월1주,,,BLK(BLACK),,,9000000,30000000,,,,
박술홍,강지은,QEAAX27741,[TRAIL] 남녀공용 트레일러닝 스트레치 헤어밴드,X,3,1100,완사입,신기SB,국내,SM1,3월1주,X,3월1주,"BLK(BLACK), IVO(IVORY), LSE",X,,11550000,49500000,,,,
박술홍,강지은,QELAX27701,[TRAIL] 남녀공용 트레일러닝 크루 삭스,X,3,1600,완사입,크리스,국내,SM1,3월1주,X,,"LSE, IVO(IVORY), DGY(D/GRAY)",X,,5566400,40000000,,,,
박술홍,조은선,QEBXX27111,남녀공용 티어드롭형 AXIOM 10L,X,3,4300,완사입,인투잇플러스,중국,X,1월4주,X,1월4주,"DGY-1, COR(CORAL), GBR(G/BROWN)",X,,122369400,550400000,,,,
박술홍,조은선,QEBXX27121,남녀공용 티어드롭형 AXIOM 20L,X,3,4100,완사입,인투잇플러스,중국,X,1월4주,X,1월4주,"BLK(BLACK), DGR(D/GREEN), DYL(D/YELLOW)",X,,150884100,688800000,,,,
박술홍,조은선,QEBXX27123,남녀공용 롤탑형 AXIOM 25L(+7L),X,2,1600,완사입,인투잇플러스,중국,X,1월4주,X,1월4주,"AQU(AQUA), BGY-2",X,,72000000,316800000,,,,
